Ημερομηνία,"SO (ppb)2","SO (μg/m3)2",Οριακή τιμή (μg/m3)
10/4/2024 17:00,0.211,0.553,350
10/4/2024 18:00,0.059,0.155,350
10/4/2024 19:00,0.049,0.128,350
10/4/2024 20:00,0.007,0.018,350
10/4/2024 21:00,0.089,0.233,350
10/4/2024 22:00,0.497,1.302,350
10/4/2024 23:00,0.825,2.162,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
11/4/2024 0:00,0.773,2.025,350
11/4/2024 1:00,0.627,1.643,350
11/4/2024 2:00,0.675,1.769,350
11/4/2024 3:00,0.592,1.551,350
11/4/2024 4:00,0.723,1.894,350
11/4/2024 5:00,0.753,1.973,350
11/4/2024 6:00,1.584,4.150,350
11/4/2024 7:00,1.190,3.118,350
11/4/2024 8:00,1.106,2.898,350
11/4/2024 9:00,1.386,3.631,350
11/4/2024 10:00,1.293,3.388,350
11/4/2024 11:00,1.143,2.995,350
11/4/2024 12:00,1.013,2.654,350
11/4/2024 13:00,0.952,2.494,350
11/4/2024 14:00,1.034,2.709,350
11/4/2024 15:00,0.874,2.290,350
11/4/2024 16:00,0.843,2.209,350
11/4/2024 17:00,0.987,2.586,350
11/4/2024 18:00,0.954,2.499,350
11/4/2024 19:00,0.822,2.154,350
11/4/2024 20:00,0.672,1.761,350
11/4/2024 21:00,0.760,1.991,350
11/4/2024 22:00,0.493,1.292,350
11/4/2024 23:00,0.464,1.216,350
12/4/2024 0:00,0.275,0.721,350
12/4/2024 1:00,0.132,0.346,350
12/4/2024 2:00,0.229,0.600,350
12/4/2024 3:00,0.178,0.466,350
12/4/2024 4:00,0.193,0.506,350
12/4/2024 5:00,0.266,0.697,350
12/4/2024 6:00,0.710,1.860,350
12/4/2024 7:00,0.943,2.471,350
12/4/2024 8:00,1.442,3.778,350
12/4/2024 9:00,1.330,3.485,350
12/4/2024 10:00,1.085,2.843,350
12/4/2024 11:00,0.954,2.499,350
12/4/2024 12:00,0.703,1.842,350
12/4/2024 13:00,0.983,2.575,350
12/4/2024 14:00,0.817,2.141,350
12/4/2024 15:00,0.788,2.065,350
12/4/2024 16:00,0.599,1.569,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
12/4/2024 17:00,0.417,1.093,350
12/4/2024 18:00,0.341,0.893,350
12/4/2024 19:00,0.433,1.134,350
12/4/2024 20:00,0.340,0.891,350
12/4/2024 21:00,0.270,0.707,350
12/4/2024 22:00,0.058,0.152,350
12/4/2024 23:00,0.117,0.307,350
13/4/2024 0:00,0.201,0.527,350
13/4/2024 1:00,0.103,0.270,350
13/4/2024 2:00,0.001,0.003,350
13/4/2024 3:00,0.042,0.110,350
13/4/2024 4:00,0.103,0.270,350
13/4/2024 5:00,0.084,0.220,350
13/4/2024 6:00,0.402,1.053,350
13/4/2024 7:00,0.670,1.755,350
13/4/2024 8:00,0.570,1.493,350
13/4/2024 9:00,0.360,0.943,350
13/4/2024 10:00,0.249,0.652,350
13/4/2024 11:00,0.258,0.676,350
13/4/2024 12:00,0.437,1.145,350
13/4/2024 13:00,0.342,0.896,350
13/4/2024 14:00,0.244,0.639,350
13/4/2024 15:00,0.170,0.445,350
13/4/2024 16:00,0.055,0.144,350
13/4/2024 17:00,0.008,0.021,350
13/4/2024 18:00,0.174,0.456,350
13/4/2024 19:00,0.037,0.097,350
13/4/2024 20:00,0.128,0.335,350
13/4/2024 21:00,0.259,0.679,350
13/4/2024 22:00,0.625,1.638,350
13/4/2024 23:00,0.791,2.072,350
14/4/2024 0:00,0.665,1.742,350
14/4/2024 1:00,1.455,3.812,350
14/4/2024 2:00,0.475,1.245,350
14/4/2024 3:00,0.353,0.925,350
14/4/2024 4:00,0.307,0.804,350
14/4/2024 5:00,0.250,0.655,350
14/4/2024 6:00,0.273,0.715,350
14/4/2024 7:00,0.397,1.040,350
14/4/2024 8:00,0.619,1.622,350
14/4/2024 9:00,0.926,2.426,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
14/4/2024 10:00,0.727,1.905,350
14/4/2024 11:00,0.494,1.294,350
14/4/2024 12:00,0.376,0.985,350
14/4/2024 13:00,0.413,1.082,350
14/4/2024 14:00,0.320,0.838,350
14/4/2024 15:00,0.365,0.956,350
14/4/2024 16:00,0.304,0.796,350
14/4/2024 17:00,0.233,0.610,350
14/4/2024 18:00,0.407,1.066,350
14/4/2024 19:00,0.462,1.210,350
14/4/2024 20:00,0.411,1.077,350
14/4/2024 21:00,0.452,1.184,350
14/4/2024 22:00,0.193,0.506,350
14/4/2024 23:00,0.985,2.581,350
15/4/2024 0:00,1.113,2.916,350
15/4/2024 1:00,0.530,1.389,350
15/4/2024 2:00,0.683,1.789,350
15/4/2024 3:00,0.669,1.753,350
15/4/2024 4:00,0.537,1.407,350
15/4/2024 5:00,0.831,2.177,350
15/4/2024 6:00,1.491,3.906,350
15/4/2024 7:00,1.321,3.461,350
15/4/2024 8:00,0.634,1.661,350
15/4/2024 9:00,0.579,1.517,350
15/4/2024 10:00,0.797,2.088,350
15/4/2024 11:00,0.848,2.222,350
15/4/2024 12:00,0.709,1.858,350
15/4/2024 13:00,0.654,1.713,350
15/4/2024 14:00,0.506,1.326,350
15/4/2024 15:00,0.318,0.833,350
15/4/2024 16:00,0.314,0.823,350
15/4/2024 17:00,0.207,0.542,350
15/4/2024 18:00,0.228,0.597,350
15/4/2024 19:00,0.174,0.456,350
15/4/2024 20:00,0.202,0.529,350
15/4/2024 21:00,0.176,0.461,350
15/4/2024 22:00,0.107,0.280,350
15/4/2024 23:00,0.152,0.398,350
16/4/2024 0:00,0.438,1.148,350
16/4/2024 1:00,0.309,0.810,350
16/4/2024 2:00,0.166,0.435,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
16/4/2024 3:00,0.225,0.590,350
16/4/2024 4:00,0.096,0.252,350
16/4/2024 5:00,0.143,0.375,350
16/4/2024 6:00,SERVICE,SERVICE,350
16/4/2024 7:00,SERVICE,SERVICE,350
16/4/2024 8:00,SERVICE,SERVICE,350
16/4/2024 9:00,SERVICE,SERVICE,350
16/4/2024 10:00,SERVICE,SERVICE,350
16/4/2024 11:00,SERVICE,SERVICE,350
16/4/2024 12:00,SERVICE,SERVICE,350
16/4/2024 13:00,SERVICE,SERVICE,350
16/4/2024 14:00,SERVICE,SERVICE,350
16/4/2024 15:00,SERVICE,SERVICE,350
16/4/2024 16:00,SERVICE,SERVICE,350
16/4/2024 17:00,SERVICE,SERVICE,350
16/4/2024 18:00,SERVICE,SERVICE,350
16/4/2024 19:00,SERVICE,SERVICE,350
16/4/2024 20:00,SERVICE,SERVICE,350
16/4/2024 21:00,SERVICE,SERVICE,350
16/4/2024 22:00,SERVICE,SERVICE,350
16/4/2024 23:00,SERVICE,SERVICE,350
17/4/2024 0:00,SERVICE,SERVICE,350
17/4/2024 1:00,SERVICE,SERVICE,350
17/4/2024 2:00,SERVICE,SERVICE,350
17/4/2024 3:00,SERVICE,SERVICE,350
17/4/2024 4:00,SERVICE,SERVICE,350
17/4/2024 5:00,SERVICE,SERVICE,350
17/4/2024 6:00,SERVICE,SERVICE,350
17/4/2024 7:00,SERVICE,SERVICE,350
17/4/2024 8:00,SERVICE,SERVICE,350
17/4/2024 9:00,SERVICE,SERVICE,350
17/4/2024 10:00,SERVICE,SERVICE,350
17/4/2024 11:00,SERVICE,SERVICE,350
17/4/2024 12:00,SERVICE,SERVICE,350
17/4/2024 13:00,SERVICE,SERVICE,350
17/4/2024 14:00,SERVICE,SERVICE,350
17/4/2024 15:00,SERVICE,SERVICE,350
17/4/2024 16:00,SERVICE,SERVICE,350
17/4/2024 17:00,SERVICE,SERVICE,350
17/4/2024 18:00,SERVICE,SERVICE,350
17/4/2024 19:00,SERVICE,SERVICE,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
17/4/2024 20:00,SERVICE,SERVICE,350
17/4/2024 21:00,SERVICE,SERVICE,350
17/4/2024 22:00,SERVICE,SERVICE,350
17/4/2024 23:00,SERVICE,SERVICE,350
18/4/2024 0:00,SERVICE,SERVICE,350
18/4/2024 1:00,SERVICE,SERVICE,350
18/4/2024 2:00,SERVICE,SERVICE,350
18/4/2024 3:00,SERVICE,SERVICE,350
18/4/2024 4:00,SERVICE,SERVICE,350
18/4/2024 5:00,SERVICE,SERVICE,350
18/4/2024 6:00,SERVICE,SERVICE,350
18/4/2024 7:00,SERVICE,SERVICE,350
18/4/2024 8:00,SERVICE,SERVICE,350
18/4/2024 9:00,SERVICE,SERVICE,350
18/4/2024 10:00,SERVICE,SERVICE,350
18/4/2024 11:00,SERVICE,SERVICE,350
18/4/2024 12:00,SERVICE,SERVICE,350
18/4/2024 13:00,SERVICE,SERVICE,350
18/4/2024 14:00,SERVICE,SERVICE,350
18/4/2024 15:00,SERVICE,SERVICE,350
18/4/2024 16:00,SERVICE,SERVICE,350
18/4/2024 17:00,SERVICE,SERVICE,350
18/4/2024 18:00,SERVICE,SERVICE,350
18/4/2024 19:00,SERVICE,SERVICE,350
18/4/2024 20:00,SERVICE,SERVICE,350
18/4/2024 21:00,SERVICE,SERVICE,350
18/4/2024 22:00,SERVICE,SERVICE,350
18/4/2024 23:00,SERVICE,SERVICE,350
19/4/2024 0:00,SERVICE,SERVICE,350
19/4/2024 1:00,SERVICE,SERVICE,350
19/4/2024 2:00,SERVICE,SERVICE,350
19/4/2024 3:00,SERVICE,SERVICE,350
19/4/2024 4:00,SERVICE,SERVICE,350
19/4/2024 5:00,SERVICE,SERVICE,350
19/4/2024 6:00,SERVICE,SERVICE,350
19/4/2024 7:00,SERVICE,SERVICE,350
19/4/2024 8:00,SERVICE,SERVICE,350
19/4/2024 9:00,SERVICE,SERVICE,350
19/4/2024 10:00,SERVICE,SERVICE,350
19/4/2024 11:00,SERVICE,SERVICE,350
19/4/2024 12:00,SERVICE,SERVICE,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
19/4/2024 13:00,SERVICE,SERVICE,350
19/4/2024 14:00,SERVICE,SERVICE,350
19/4/2024 15:00,SERVICE,SERVICE,350
19/4/2024 16:00,SERVICE,SERVICE,350
19/4/2024 17:00,SERVICE,SERVICE,350
19/4/2024 18:00,SERVICE,SERVICE,350
19/4/2024 19:00,SERVICE,SERVICE,350
19/4/2024 20:00,SERVICE,SERVICE,350
19/4/2024 21:00,SERVICE,SERVICE,350
19/4/2024 22:00,SERVICE,SERVICE,350
19/4/2024 23:00,SERVICE,SERVICE,350
20/4/2024 0:00,SERVICE,SERVICE,350
20/4/2024 1:00,SERVICE,SERVICE,350
20/4/2024 2:00,SERVICE,SERVICE,350
20/4/2024 3:00,SERVICE,SERVICE,350
20/4/2024 4:00,SERVICE,SERVICE,350
20/4/2024 5:00,SERVICE,SERVICE,350
20/4/2024 6:00,SERVICE,SERVICE,350
20/4/2024 7:00,SERVICE,SERVICE,350
20/4/2024 8:00,SERVICE,SERVICE,350
20/4/2024 9:00,SERVICE,SERVICE,350
20/4/2024 10:00,SERVICE,SERVICE,350
20/4/2024 11:00,SERVICE,SERVICE,350
20/4/2024 12:00,SERVICE,SERVICE,350
20/4/2024 13:00,SERVICE,SERVICE,350
20/4/2024 14:00,SERVICE,SERVICE,350
20/4/2024 15:00,SERVICE,SERVICE,350
20/4/2024 16:00,SERVICE,SERVICE,350
20/4/2024 17:00,SERVICE,SERVICE,350
20/4/2024 18:00,SERVICE,SERVICE,350
20/4/2024 19:00,SERVICE,SERVICE,350
20/4/2024 20:00,SERVICE,SERVICE,350
20/4/2024 21:00,SERVICE,SERVICE,350
20/4/2024 22:00,SERVICE,SERVICE,350
20/4/2024 23:00,SERVICE,SERVICE,350
21/4/2024 0:00,SERVICE,SERVICE,350
21/4/2024 1:00,SERVICE,SERVICE,350
21/4/2024 2:00,SERVICE,SERVICE,350
21/4/2024 3:00,SERVICE,SERVICE,350
21/4/2024 4:00,SERVICE,SERVICE,350
21/4/2024 5:00,SERVICE,SERVICE,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
21/4/2024 6:00,SERVICE,SERVICE,350
21/4/2024 7:00,SERVICE,SERVICE,350
21/4/2024 8:00,SERVICE,SERVICE,350
21/4/2024 9:00,SERVICE,SERVICE,350
21/4/2024 10:00,SERVICE,SERVICE,350
21/4/2024 11:00,SERVICE,SERVICE,350
21/4/2024 12:00,SERVICE,SERVICE,350
21/4/2024 13:00,SERVICE,SERVICE,350
21/4/2024 14:00,SERVICE,SERVICE,350
21/4/2024 15:00,SERVICE,SERVICE,350
21/4/2024 16:00,SERVICE,SERVICE,350
21/4/2024 17:00,SERVICE,SERVICE,350
21/4/2024 18:00,SERVICE,SERVICE,350
21/4/2024 19:00,SERVICE,SERVICE,350
21/4/2024 20:00,SERVICE,SERVICE,350
21/4/2024 21:00,SERVICE,SERVICE,350
21/4/2024 22:00,SERVICE,SERVICE,350
21/4/2024 23:00,SERVICE,SERVICE,350
22/4/2024 0:00,SERVICE,SERVICE,350
22/4/2024 1:00,SERVICE,SERVICE,350
22/4/2024 2:00,SERVICE,SERVICE,350
22/4/2024 3:00,SERVICE,SERVICE,350
22/4/2024 4:00,SERVICE,SERVICE,350
22/4/2024 5:00,SERVICE,SERVICE,350
22/4/2024 6:00,SERVICE,SERVICE,350
22/4/2024 7:00,SERVICE,SERVICE,350
22/4/2024 8:00,SERVICE,SERVICE,350
22/4/2024 9:00,SERVICE,SERVICE,350
22/4/2024 10:00,SERVICE,SERVICE,350
22/4/2024 11:00,SERVICE,SERVICE,350
22/4/2024 12:00,SERVICE,SERVICE,350
22/4/2024 13:00,SERVICE,SERVICE,350
22/4/2024 14:00,SERVICE,SERVICE,350
22/4/2024 15:00,0.122,0.320,350
22/4/2024 16:00,0.513,1.344,350
22/4/2024 17:00,0.317,0.831,350
22/4/2024 18:00,0.346,0.907,350
22/4/2024 19:00,0.278,0.728,350
22/4/2024 20:00,0.221,0.579,350
22/4/2024 21:00,0.386,1.011,350
22/4/2024 22:00,0.083,0.217,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
22/4/2024 23:00,0.271,0.710,350
23/4/2024 0:00,0.017,0.045,350
23/4/2024 1:00,0.081,0.212,350
23/4/2024 2:00,0.030,0.079,350
23/4/2024 3:00,0.133,0.348,350
23/4/2024 4:00,0.079,0.207,350
23/4/2024 5:00,0.198,0.519,350
23/4/2024 6:00,0.051,0.134,350
23/4/2024 7:00,0.060,0.157,350
23/4/2024 8:00,0.018,0.047,350
23/4/2024 9:00,0.132,0.346,350
23/4/2024 10:00,0.099,0.259,350
23/4/2024 11:00,0.158,0.414,350
23/4/2024 12:00,0.013,0.034,350
23/4/2024 13:00,0.011,0.029,350
23/4/2024 14:00,0.007,0.018,350
23/4/2024 15:00,0.052,0.136,350
23/4/2024 16:00,0.110,0.288,350
23/4/2024 17:00,0.160,0.419,350
23/4/2024 18:00,0.151,0.396,350
23/4/2024 19:00,0.230,0.603,350
23/4/2024 20:00,0.208,0.545,350
23/4/2024 21:00,0.156,0.409,350
23/4/2024 22:00,0.052,0.136,350
23/4/2024 23:00,0.109,0.286,350
24/4/2024 0:00,0.243,0.637,350
24/4/2024 1:00,0.185,0.485,350
24/4/2024 2:00,0.145,0.380,350
24/4/2024 3:00,0.138,0.362,350
24/4/2024 4:00,0.218,0.571,350
24/4/2024 5:00,0.317,0.831,350
24/4/2024 6:00,0.396,1.038,350
24/4/2024 7:00,0.516,1.352,350
24/4/2024 8:00,0.632,1.656,350
24/4/2024 9:00,0.487,1.276,350
24/4/2024 10:00,0.373,0.977,350
24/4/2024 11:00,0.275,0.721,350
24/4/2024 12:00,0.178,0.466,350
24/4/2024 13:00,0.335,0.878,350
24/4/2024 14:00,0.213,0.558,350
24/4/2024 15:00,0.222,0.582,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
24/4/2024 16:00,0.176,0.461,350
24/4/2024 17:00,0.204,0.534,350
24/4/2024 18:00,0.160,0.419,350
24/4/2024 19:00,0.064,0.168,350
24/4/2024 20:00,0.002,0.005,350
24/4/2024 21:00,0.064,0.168,350
24/4/2024 22:00,0.204,0.534,350
24/4/2024 23:00,0.241,0.631,350
25/4/2024 0:00,0.212,0.555,350
25/4/2024 1:00,0.255,0.668,350
25/4/2024 2:00,0.198,0.519,350
25/4/2024 3:00,0.193,0.506,350
25/4/2024 4:00,0.223,0.584,350
25/4/2024 5:00,0.145,0.380,350
25/4/2024 6:00,0.010,0.026,350
25/4/2024 7:00,0.041,0.107,350
25/4/2024 8:00,0.253,0.663,350
25/4/2024 9:00,0.068,0.178,350
25/4/2024 10:00,0.020,0.052,350
25/4/2024 11:00,0.001,0.003,350
25/4/2024 12:00,0.098,0.257,350
25/4/2024 13:00,0.102,0.267,350
25/4/2024 14:00,0.337,0.883,350
25/4/2024 15:00,0.140,0.367,350
25/4/2024 16:00,0.004,0.010,350
25/4/2024 17:00,0.028,0.073,350
25/4/2024 18:00,0.252,0.660,350
25/4/2024 19:00,0.226,0.592,350
25/4/2024 20:00,0.258,0.676,350
25/4/2024 21:00,0.330,0.865,350
25/4/2024 22:00,0.168,0.440,350
25/4/2024 23:00,0.153,0.401,350
